[15:37:13] [main/INFO]: ModLauncher running: args [--username, Herobrine52, --version, forge-47.3.11, --gameDir, C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9, --assetsDir, C:\Users\Francesco\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 812cfdb04240407696a33ebb5e9632fd, --accessToken, ????????, --clientId, OWNlNWU0ZWMtOWJhMS00ZjA5LTkxYzAtNzQ1MGE1ODFmNGE4, --xuid, 2535441942000687, --userType, msa, --versionType, release, --width, 854, --height, 480, --quickPlayPath, C:\Users\Francesco\curseforge\minecraft\Install\quickPlay\java\1737124631146.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.11, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[15:37:13] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[15:37:13] [main/WARN]: Configuration file C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\config\fml.toml is not correct. Correcting
[15:37:13] [main/INFO]: Incorrect key [earlyWindowLogHelpMessage] was corrected from null to true
[15:37:13] [main/INFO]: Incorrect key [earlyWindowShowCPU] was corrected from null to false
[15:37:16] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[15:37:16] [main/INFO]: Trying GL version 4.6
[15:37:16] [main/INFO]: If this message is the only thing at the bottom of your log before a crash, you probably have a driver issue.

Possible solutions:
A) Make sure Minecraft is set to prefer high performance graphics in the OS and/or driver control panel
B) Check for driver updates on the graphics brand's website
C) Try reinstalling your graphics drivers
D) If still not working after trying all of the above, ask for further help on the Forge forums or Discord
[15:37:18] [main/INFO]: Found mod file AdditionalEnchantedMiner-1.20.1-1201.1.90.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file additionallanterns-1.1.1a-forge-mc1.20.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file AdvancedAE-1.0.13-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file AdvancedPeripherals-1.20.1-0.7.41r.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file advgenerators-1.6.0.6-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file AE2-Things-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ae2insertexportcard-1.20.1-1.3.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ae2wtlib-15.2.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file AEAdditions-1.20.1-5.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file AEInfinityBooster-1.20.1-1.0.0+21.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file aether-1.20.1-1.5.1-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file AI-Improvements-1.20-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file aiotbotania-1.20.1-4.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file alchemistry-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file alchemylib-1.20.1-1.0.30.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file allthearcanistgear-1.20.1-20.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file allthecompressed-1.20.1-3.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file alltheleaks-0.1.0-beta+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file allthemodium-1.20.1-47.1.25-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file alltheores-1.20.1-47.1.3-2.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file allthetweaks-1.20.1-47.2.20-2.3.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file allthewizardgear-1.20.1-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file almostunified-forge-1.20.1-0.9.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file amendments-1.20-1.2.14.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file angelring-1.20.1-2.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Apotheosis-1.20.1-7.4.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ApothicAttributes-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Applied-Botanics-forge-1.5.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Applied-Mekanistics-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file appliedenergistics2-forge-15.3.2-beta.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file AppliedFlux-1.20-1.1.10-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Aquaculture-1.20.1-2.5.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ars_creo-1.20.1-4.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ars_elemental-1.20.1-0.6.7.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.12.6-all.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file ars_ocultas-1.20.1-1.2.2-all.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file arseng-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file artifacts-forge-9.5.13.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.10-all.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file BambooEverything-forge-3.0.3+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file baubley-heart-canisters-1.20.1-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file bdlib-1.27.0.8-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file BetterAdvancements-Forge-1.20.1-0.4.2.25.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file BetterF3-7.0.2-Forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file BiomesOPlenty-forge-1.20.1-19.0.0.94.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file blockui-1.20.1-1.0.186-beta.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file bloodmagic-1.20.1-3.3.3-45.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file blue_skies-1.20.1-1.3.31.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file blueflame-1.20.0-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Botania-1.20.1-446-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file BotanyPots-Forge-1.20.1-13.0.40.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file BotanyTrees-Forge-1.20.1-9.0.18.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file BrandonsCore-1.20.1-3.2.1.302-universal.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file buildinggadgets2-1.0.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file bwncr-forge-1.20.1-3.17.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cabletiers-1.20.1-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file caelus-forge-3.2.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file caupona-1.20.1-0.4.9.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cc-tweaked-1.20.1-forge-1.113.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cfm-forge-1.20.1-7.0.0-pre36.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file charginggadgets-1.11.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file charmofundying-forge-6.5.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file chemlib-1.20.1-2.0.19.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Chimes-v2.0.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file chipped-forge-1.20.1-3.0.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cleanswing-1.20-1.8.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file clickadv-1.20.1-3.8.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Cobblemon-forge-1.5.2+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file CodeChickenLib-1.20.1-4.4.0.516-universal.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cofh_core-1.20.1-11.0.2.56.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file colorfulhearts-forge-1.20.1-4.3.16.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file comforts-forge-6.4.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file CommonCapabilities-1.20.1-2.9.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file configuration-forge-1.20.1-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file connectedglass-1.1.12-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file connectivity-1.20.1-6.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file constructionwand-1.20.1-2.11.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cookingforblockheads-forge-1.20.1-16.0.9.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file corail_woodcutter-1.20.1-3.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file CorgiLib-forge-1.20.1-4.0.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file corn_delight-1.1.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cosmeticarmorreworked-1.20.1-v1a.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file crafting-on-a-stick-1.20.1-1.1.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file craftingtweaks-forge-1.20.1-18.2.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file crashutilities-8.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file create-1.20.1-0.5.1.j.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file create-new-age-forge-1.20.1-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file create_enchantment_industry-1.20.1-for-create-0.5.1.f-1.2.9.d.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file create_jetpack-forge-4.3.2.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file createaddition-1.20.1-1.2.4e.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file createoreexcavation-1.20-1.5.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file creeperoverhaul-3.0.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cristellib-1.1.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Croptopia-1.20.1-FORGE-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file Cucumber-1.20.1-7.0.13.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file curios-forge-5.11.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file CyclopsCore-1.20.1-1.19.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file dankstorage-forge-1.20.1-15.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file DarkModeEverywhere-1.20.1-1.2.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file DarkPaintings-Forge-1.20.1-17.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file DarkUtilities-Forge-1.20.1-17.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
[15:37:18] [main/INFO]: Found mod file deeperdarker-forge-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\Francesco\curseforge\minecraft\Instances\All the Mods 9 - ATM9\mods}
